city_type,date,state,district,pincode,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_
Non-Metropolitan,2025-04-01,Haryana,Karnal,132039,0.0,0.0,0.0,48.0,440.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Panipat,132103,0.0,0.0,0.0,952.0,5630.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Panipat,132107,0.0,0.0,0.0,50.0,258.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Panipat,132113,0.0,0.0,0.0,37.0,246.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Karnal,132157,0.0,0.0,0.0,14.0,94.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Ambala,133001,0.0,0.0,0.0,201.0,1022.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Yamuna Nagar,133103,0.0,0.0,0.0,52.0,355.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Ambala,133201,0.0,0.0,0.0,45.0,230.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Ambala,134007,0.0,0.0,0.0,21.0,150.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Panchkula,134113,0.0,0.0,0.0,235.0,630.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Yamuna Nagar,135002,0.0,0.0,0.0,36.0,224.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Yamuna Nagar,135102,0.0,0.0,0.0,71.0,502.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Yamuna Nagar,135133,0.0,0.0,0.0,71.0,362.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Kaithal,136042,0.0,0.0,0.0,16.0,118.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Kaithal,136043,0.0,0.0,0.0,56.0,242.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Kurukshetra,136119,0.0,0.0,0.0,65.0,400.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Kurukshetra,136132,0.0,0.0,0.0,54.0,396.0,0.0,0.0
Non-Metropolitan,2025-04-01,Punjab,SAS Nagar (Mohali),140507,0.0,0.0,0.0,46.0,645.0,0.0,0.0
Non-Metropolitan,2025-04-01,Punjab,SAS Nagar (Mohali),140603,0.0,0.0,0.0,169.0,1637.0,0.0,0.0
Metropolitan,2025-04-01,Punjab,Ludhiana,141008,0.0,0.0,0.0,204.0,2314.0,0.0,0.0
Non-Metropolitan,2025-04-01,Punjab,Ferozepur,142047,0.0,0.0,0.0,18.0,288.0,0.0,0.0
Non-Metropolitan,2025-04-01,Punjab,Gurdaspur,143505,0.0,0.0,0.0,106.0,1760.0,0.0,0.0
Non-Metropolitan,2025-04-01,Punjab,Gurdaspur,143521,0.0,0.0,0.0,49.0,860.0,0.0,0.0
Non-Metropolitan,2025-04-01,Punjab,Hoshiarpur,146001,0.0,0.0,0.0,92.0,1386.0,0.0,0.0
Non-Metropolitan,2025-04-01,Punjab,Patiala,147101,0.0,0.0,0.0,70.0,948.0,0.0,0.0
Metropolitan,2025-04-01,Chandigarh,Chandigarh,160002,0.0,0.0,0.0,246.0,641.0,0.0,0.0
Metropolitan,2025-04-01,Chandigarh,Chandigarh,160015,0.0,0.0,0.0,76.0,223.0,0.0,0.0
Metropolitan,2025-04-01,Chandigarh,Chandigarh,160019,0.0,0.0,0.0,123.0,417.0,0.0,0.0
Metropolitan,2025-04-01,Chandigarh,Chandigarh,160022,0.0,0.0,0.0,71.0,321.0,0.0,0.0
Metropolitan,2025-04-01,Chandigarh,Chandigarh,160036,0.0,0.0,0.0,400.0,1441.0,0.0,0.0
Metropolitan,2025-04-01,Chandigarh,Chandigarh,160047,0.0,0.0,0.0,370.0,1255.0,0.0,0.0
Metropolitan,2025-04-01,Chandigarh,Chandigarh,160102,0.0,0.0,0.0,382.0,697.0,0.0,0.0
Non-Metropolitan,2025-04-01,Himachal Pradesh,Sirmaur,173027,0.0,0.0,0.0,130.0,253.0,0.0,0.0
Non-Metropolitan,2025-04-01,Himachal Pradesh,Una,174303,0.0,0.0,0.0,61.0,346.0,0.0,0.0
Non-Metropolitan,2025-04-01,Himachal Pradesh,Una,174315,0.0,0.0,0.0,13.0,113.0,0.0,0.0
Non-Metropolitan,2025-04-01,Himachal Pradesh,Hamirpur,177001,0.0,0.0,0.0,14.0,174.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Udhampur,182101,0.0,0.0,0.0,49.0,432.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Ramban,182144,0.0,0.0,0.0,144.0,481.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Samba,184121,0.0,0.0,0.0,52.0,258.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Kathua,184204,0.0,0.0,0.0,62.0,439.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Kathua,184205,0.0,0.0,0.0,18.0,126.0,0.0,0.0
Non-Metropolitan,2025-04-01,Jammu and Kashmir,Punch,185101,0.0,0.0,0.0,210.0,1411.0,0.0,0.0
